362,Mind and Brain: Themes in the History of Neuroscience,"This course examines the development of the neurosciences from the late eighteenth century to the early twenty-first century,...","3,500"
363,England After Empire,This course considers the way England was transformed through the demise of its empire after the Second World War through to the...,"3,500"
364,Race and US Politics,This course elucidates American racial politics through a combination of theoretical and historical approaches,"3,500"
365,Programming in R,"This course features a comprehensive overview of the R programming language, with an emphasis on developing practical skills for...","3,500"
366,Mathematical Reasoning: An Introduction to Reading and Writing Proofs,"Ever wonder where a mathematical fact comes from or why you should believe it? What does it mean to prove a theorem, and how do...","3,500"
367,Marine Life and Ecosystems of the Sea,This course explores the life history and adaptations of marine life and the ecosystems of the sea,"3,500"
368,Introduction to Clinical Psychology,Clinical psychology is a diverse and compelling field,"3,500"
369,Health Information Systems,"Health information systems provide technology and enable information exchange for healthcare enterprises, health information...","3,500"
370,Character Design for Animation and Games,The design of a character connects us to the story,"3,500"
371,Introduction to Statistics and Applied Data Analysis,"This course is an intensive introduction to the fundamental concepts of probability, statistical inference, and statistical...","3,500"
372,Java Enterprise Development with the Spring Framework,"This course provides an in-depth, hands-on study of technological, design, and development approaches for enterprise-level...","3,500"
373,Myth and Mystery in Post-World War II US Short Fiction,This course surveys a host of short prose fiction published in the United States after 1945,"3,500"
374,Poetry in America: Whitman and Dickinson,"This course focuses on the poetry of Walt Whitman and Emily Dickinson, two influential and iconic American poets of the...","3,500"
375,"Big Ideas, Great Thinkers",Great thinkers have existed around the world and across time,"3,500"
376,Islam: Fundamentals of Thought and Practice,"This course seeks to introduce students to the core beliefs and practices of Islam, with special focus on how Islam has...","3,500"
377,Managerial Economics,This course provides an overview of economic tools and analytic approaches available to the manager for business decision making,"3,500"
378,Quantitative Reasoning: Practical Math,This course reviews basic arithmetical procedures and their use in everyday mathematics,"1,000"
379,Precision Medicine in Genomics,This course focuses on the application of genomic science in precision medicine,"3,500"
380,Power and Privilege in the Criminal Justice System,"This course looks at a variety of intersections between psychology and the criminal justice system, with a particular eye on...","3,500"
381,Computational Bayesian Inference,This course is an introduction to Bayesian inference and Markov Chain Monte Carlo computational methods,"3,500"
382,Web Programming with Python and JavaScript,"This course examines the design and implementation of web applications with Python, JavaScript, and SQL using frameworks like...","3,500"
383,Design Thinking and Innovation,Design Thinking and Innovation from Harvard Business School (HBS) Online will teach you how to leverage fundamental design...,"1,750"
384,Organizational Leadership,Elevate your leadership skills to take your organization to the next level in this course from Harvard Business School (HBS)...,"1,750"
